"filename", "language", "JSON", "Markdown", "Python", "XML", "Properties", "Java", "Vue", "HTML", "JavaScript", "Excel", "JSON with Comments", "Batch", "comment", "blank", "total"
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_context_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_core_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_expression_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_jcl_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_test_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_web_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_webmvc_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_xmlunit_xmlunit_core_2_7_0.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_yaml_snakeyaml_1_26.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\misc.xml", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\code\Shanruan_app\shanruan\.idea\modules.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"e:\code\Shanruan_app\shanruan\.idea\shanruan.iml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"e:\code\Shanruan_app\shanruan\.idea\uiDesigner.xml", "XML", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124
"e:\code\Shanruan_app\shanruan\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\code\Shanruan_app\shanruan\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\code\Shanruan_app\shanruan\backend\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 31, 11, 118
"e:\code\Shanruan_app\shanruan\backend\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\code\Shanruan_app\shanruan\backend\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7
"e:\code\Shanruan_app\shanruan\backend\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 51, 36, 183
"e:\code\Shanruan_app\shanruan\backend\pom.xml", "XML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 114
"e:\code\Shanruan_app\shanruan\backend\src\main\java\com\example\backend\BackendApplication.java", "Java", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\code\Shanruan_app\shanruan\backend\src\main\java\com\example\backend\config\CorsConfig.java", "Java", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 3, 21
"e:\code\Shanruan_app\shanruan\backend\src\main\java\com\example\backend\config\QNconfig.java", "Java", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 13, 11, 60
"e:\code\Shanruan_app\shanruan\backend\src\main\java\com\example\backend\controller\FileController.java", "Java", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 9, 36
"e:\code\Shanruan_app\shanruan\backend\src\main\java\com\example\backend\controller\HelloController.java", "Java", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\code\Shanruan_app\shanruan\backend\src\main\java\com\example\backend\service\FileService.java", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 7, 15
"e:\code\Shanruan_app\shanruan\backend\src\main\java\com\example\backend\service\impl\FileServiceImpl.java", "Java", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 18, 12, 117
"e:\code\Shanruan_app\shanruan\backend\src\main\java\com\example\backend\utils\AjaxResult.java", "Java", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 79, 22, 167
"e:\code\Shanruan_app\shanruan\backend\src\main\resources\application.properties", "Properties", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 8, 4, 18
"e:\code\Shanruan_app\shanruan\backend\src\main\resources\static\python\class_indices.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\code\Shanruan_app\shanruan\backend\src\main\resources\static\python\main.py", "Python", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 54, 289
"e:\code\Shanruan_app\shanruan\backend\src\main\resources\static\python\model.py", "Python", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 46, 253
"e:\code\Shanruan_app\shanruan\backend\src\main\resources\static\python\musicValue.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 1, 96
"e:\code\Shanruan_app\shanruan\backend\src\main\resources\static\python\test.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\code\Shanruan_app\shanruan\backend\src\test\java\com\example\backend\BackendApplicationTests.java", "Java", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"e:\code\Shanruan_app\shanruan\electron-vue3\README.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"e:\code\Shanruan_app\shanruan\electron-vue3\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\code\Shanruan_app\shanruan\electron-vue3\package-lock.json", "JSON", 36871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36872
"e:\code\Shanruan_app\shanruan\electron-vue3\package.json", "JSON", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"e:\code\Shanruan_app\shanruan\electron-vue3\public\chart.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 3, 205
"e:\code\Shanruan_app\shanruan\electron-vue3\public\chart2.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 2, 259
"e:\code\Shanruan_app\shanruan\electron-vue3\public\chartdeal_1.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 3, 188
"e:\code\Shanruan_app\shanruan\electron-vue3\public\chartdeal_2.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 3, 204
